Modelo,Marco,N,MAE,Taxa Acerto (%)
Random Forest,3m,628,1.8512842471895254,65.44585987261146
Random Forest,6m,591,1.8604281122189263,64.12859560067682
Random Forest,12m,599,2.1390110790049617,61.101836393989984
Random Forest,24m,571,2.174697333267892,59.719789842381786
Random Forest,36m,513,2.160020715558475,60.42884990253411
Random Forest,48m,379,2.4015084668724387,58.575197889182064
Random Forest,60m,181,2.5473890316571777,53.03867403314917
Random Forest,72m,50,2.759429545485617,46.0
Random Forest,84m,10,3.627864688697476,10.0
XGBoost,3m,628,1.8555808873666102,66.71974522292994
XGBoost,6m,591,2.221518637174075,56.51438240270728
XGBoost,12m,599,2.6008093404997,51.75292153589316
XGBoost,24m,571,2.5000618887774793,51.48861646234676
XGBoost,36m,513,2.322874787212176,57.1150097465887
XGBoost,48m,379,2.4766676564048677,53.825857519788926
XGBoost,60m,181,2.7180327965277047,48.06629834254144
XGBoost,72m,50,2.9897942142276697,40.0
XGBoost,84m,10,3.7550132008228183,20.0
LightGBM,3m,628,1.7995126567527981,65.76433121019109
LightGBM,6m,591,1.9599402294487096,66.83587140439933
LightGBM,12m,599,2.2828758537933656,56.093489148580964
LightGBM,24m,571,2.2717048483286457,57.09281961471103
LightGBM,36m,513,2.1706658411044204,59.4541910331384
LightGBM,48m,379,2.3608261364328795,57.519788918205805
LightGBM,60m,181,2.644238642482548,47.51381215469613
LightGBM,72m,50,2.8607082899219485,44.0
LightGBM,84m,10,3.92835597223131,20.0
CatBoost,3m,628,1.8843399899062165,65.12738853503186
CatBoost,6m,591,2.1320091639229894,57.868020304568525
CatBoost,12m,599,2.5303468482005913,53.58931552587646
CatBoost,24m,571,2.4096171709509795,51.48861646234676
CatBoost,36m,513,2.1559231795621776,59.84405458089669
CatBoost,48m,379,2.3307570674628773,56.464379947229546
CatBoost,60m,181,2.59497013003971,52.48618784530387
CatBoost,72m,50,2.714066010654027,46.0
CatBoost,84m,10,3.526385628013061,20.0
MLP,3m,628,1.9380580316203295,60.35031847133758
MLP,6m,591,1.9351801085795044,63.62098138747885
MLP,12m,599,2.2467184537788234,56.594323873121866
MLP,24m,571,2.253986559443075,59.19439579684763
MLP,36m,513,2.081636916725035,60.42884990253411
MLP,48m,379,2.166722677395493,59.894459102902374
MLP,60m,181,2.615967147711904,49.72375690607735
MLP,72m,50,3.041094531902888,44.0
MLP,84m,10,3.5319686721163954,20.0
LSTM,3m,628,2.0267053180202232,59.39490445859873
LSTM,6m,591,1.905203715728123,63.45177664974619
LSTM,12m,599,1.9782050518231475,61.43572621035058
LSTM,24m,571,1.838592877890775,66.37478108581436
LSTM,36m,513,1.74008012370767,70.56530214424951
LSTM,48m,379,1.8271903774269869,68.86543535620054
LSTM,60m,181,1.8530807088253118,65.74585635359117
LSTM,72m,50,2.16205908347041,70.0
LSTM,84m,10,1.9929482355008905,60.0
